station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
0	0	0	0	0	18	18	0
0.25	0.25	0	0	0	18	18	0
0.5	0.5	0	0	0	18	18	0
0.75	0.75	0	0	0	18	18	0
1	1	0	0	0	18	18	0
1.25	1.25	0	0	0	18	18	0
1.5	1.5	0	0	0	18	18	0
1.75	1.75	0	0	0	18	18	0
2	2	0	0	0	18	18	0
2.25	2.25	0	0	0	18	18	0
2.5	2.5	0	0	0	18	18	0
2.75	2.75	0	0	0	18	18	0
3	3	0	0	0	18	18	0
3.25	3.25	0	0	0	18	18	0
3.5	3.5	0	0	0	18	18	0
3.75	3.75	0	0	0	18	18	0
4	4	0	0	0	18	18	0
4.25	4.25	0	0	0	18	18	0
4.5	4.5	0	0	0	18	18	0
4.75	4.75	0	0	0	18	18	0
5	5	0	0	0	18	18	0
5.25	5.25	0	0	0	18	18	0
5.5	5.5	0	0	0	18	18	0
5.75	5.75	0	0	0	18	18	0
6	6	0	0	0	18	18	0
6.25	6.25	0	0	0	18	18	0
6.5	6.5	0	0	0	18	18	0
6.75	6.75	0	0	0	18	18	0
7	7	0	0	0	18	18	0
7.25	7.25	0	0	0	18	18	0
7.5	7.5	0	0	0	18	18	0
7.75	7.75	0	0	0	18	18	0
8	8	0	0	0	18	18	0
8.25	8.25	0	0	0	18	18	0
8.5	8.5	0	0	0	18	18	0
8.75	8.75	0	0	0	18	18	0
9	9	0	0	0	18	18	0
9.25	9.25	0	0	0	18	18	0
9.5	9.5	0	0	0	18	18	0
9.75	9.75	0	0	0	18	18	0
10	10	0	0	0	18	18	0
10.25	10.25	0	0	0	18.000016930027	18.000016930027	0
10.5	10.5	0	0	0	18.0001341680908	18.0001341680908	0
10.75	10.75	0	0	0	18.0004485455132	18.0004485455132	0
11	11	0	0	0	18.0010531445313	18.0010531445313	0
11.25	11.25	0	0	0	18.0020373463631	18.0020373463631	0
11.5	11.5	0	0	0	18.0034868792725	18.0034868792725	0
11.75	11.75	0	0	0	18.0054838666344	18.0054838666344	0
12	12	0	0	0	18.008106875	18.008106875	0
12.25	12.25	0	0	0	18.011430962162	18.0110227253464	0
12.5	12.5	0	0	0	18.0155277252197	18.013937699988	0
12.75	12.75	0	0	0	18.0204653486443	18.016851799406	0
13	13	0	0	0	18.0263086523438	18.0197650240806	0
13.25	13.25	0	0	0	18.0331191397285	18.0226773744921	0
13.5	13.5	0	0	0	18.0409550457764	18.0255888511201	0
13.75	13.75	0	0	0	18.0498713850975	18.0284994544436	0
14	14	0	0	0	18.05992	18.0314091849414	0
14.25	14.25	0	0	0	18.0711496085548	18.0343180430919	0
14.5	14.5	0	0	0	18.0836058526611	18.0372260293727	0
14.75	14.75	0	0	0	18.0973313461113	18.0401331442614	0
15	15	0	0	0	18.1123657226562	18.0430393882349	0
15.25	15.25	0	0	0	18.1287456840706	18.0459447617697	0
